iter	Passed	Remaining
444	1507	1879
445	1517	1884
446	1522	1883
447	1525	1879
448	1529	1877
449	1532	1872
450	1534	1867
451	1536	1862
452	1543	1863
453	1551	1865
454	1560	1868
455	1564	1866
456	1582	1879
457	1584	1875
458	1592	1877
459	1600	1878
460	1607	1879
461	1611	1876
462	1615	1873
463	1618	1869
464	1622	1866
465	1625	1863
466	1628	1858
467	1655	1882
468	1659	1878
469	1665	1877
470	1668	1874
471	1671	1869
472	1675	1866
473	1677	1861
474	1681	1858
475	1686	1856
476	1691	1854
477	1694	1850
478	1699	1848
479	1710	1852
480	1714	1850
481	1717	1845
482	1721	1842
483	1726	1841
484	1729	1836
485	1732	1832
486	1736	1829
487	1738	1824
488	1740	1818
489	1744	1816
490	1748	1812
491	1750	1807
492	1752	1802
493	1756	1799
494	1761	1796
495	1766	1795
496	1770	1791
497	1773	1787
498	1781	1788
499	1784	1784
500	1787	1779
501	1798	1783
502	1803	1781
503	1811	1782
504	1816	1780
505	1818	1775
506	1832	1781
507	1835	1777
508	1846	1781
509	1849	1777
510	1861	1781
511	1868	1781
512	1877	1782
513	1893	1790
514	1905	1794
515	1914	1795
516	1924	1797
517	1931	1797
518	1942	1800
519	1954	1804
520	1966	1807
521	1969	1803
522	1989	1814
523	1996	1813
524	2001	1811
525	2009	1810
526	2013	1807
527	2017	1803
528	2026	1804
529	2030	1801
530	2035	1798
531	2046	1800
532	2049	1795
533	2058	1796
534	2064	1794
535	2070	1792
536	2074	1788
537	2077	1783
538	2083	1781
539	2089	1779
540	2092	1775
541	2099	1773
542	2102	1769
543	2105	1765
544	2107	1759
545	2110	1754
546	2117	1753
547	2120	1749
548	2123	1744
549	2126	1740
550	2131	1736
551	2135	1732
552	2139	1729
553	2144	1726
554	2147	1721
555	2150	1717
556	2153	1713
557	2157	1708
558	2161	1705
559	2165	1701
560	2169	1697
561	2172	1693
562	2176	1689
563	2179	1685
564	2183	1680
565	2186	1676
566	2189	1672
567	2194	1669
568	2197	1664
569	2201	1660
570	2204	1656
571	2208	1652
572	2212	1649
573	2214	1643
574	2217	1639
575	2219	1634
576	2223	1630
577	2227	1626
578	2231	1622
579	2234	1617
580	2236	1612
581	2239	1608
582	2242	1604
583	2245	1599
584	2249	1595
585	2251	1590
586	2255	1587
587	2258	1582
588	2261	1577
589	2266	1575
590	2269	1570
591	2273	1567
592	2276	1562
593	2278	1557
594	2280	1552
595	2285	1549
596	2288	1544
597	2290	1540
598	2293	1535
599	2296	1530
600	2298	1526
601	2303	1522
602	2306	1518
603	2308	1513
604	2310	1508
605	2313	1504
606	2315	1499
607	2319	1495
608	2322	1490
609	2324	1486
610	2327	1481
611	2332	1478
612	2335	1474
613	2339	1470
614	2342	1466
615	2345	1462
616	2349	1458
617	2353	1455
618	2355	1449
619	2358	1445
620	2361	1441
621	2364	1436
622	2366	1432
623	2368	1427
624	2371	1422
625	2373	1418
626	2377	1414
627	2379	1409
628	2381	1404
629	2383	1399
630	2385	1395
631	2388	1390
632	2392	1387
633	2394	1382
634	2396	1377
635	2399	1373
636	2400	1368
637	2402	1363
638	2404	1358
639	2407	1354
640	2412	1351
641	2415	1346
642	2416	1341
643	2419	1337
644	2428	1336
645	2432	1332
646	2434	1328
647	2439	1325
648	2443	1321
649	2445	1316
650	2447	1312
651	2450	1308
652	2456	1305
653	2459	1301
654	2461	1296
655	2464	1292
656	2466	1287
657	2475	1286
658	2478	1282
659	2480	1277
660	2482	1273
661	2491	1272
662	2493	1267
663	2498	1264
664	2504	1261
665	2507	1257
666	2510	1253
667	2515	1250
668	2519	1246
669	2522	1242
670	2524	1237
671	2526	1233
672	2535	1231
673	2537	1227
674	2540	1223
675	2542	1218
676	2548	1215
677	2550	1211
678	2552	1206
679	2554	1201
680	2556	1197
681	2558	1192
682	2564	1190
683	2567	1185
684	2569	1181
685	2571	1177
686	2574	1172
687	2581	1170
688	2584	1166
689	2587	1162
690	2589	1158
691	2598	1156
692	2600	1151
693	2602	1147
694	2604	1143
695	2610	1140
696	2613	1136
697	2615	1131
698	2617	1127
699	2620	1122
700	2624	1119
701	2628	1115
702	2630	1111
703	2632	1107
704	2634	1102
705	2637	1098
706	2644	1095
707	2646	1091
708	2648	1087
709	2650	1082
710	2657	1080
711	2659	1075
712	2661	1071
713	2662	1066
714	2664	1062
715	2666	1057
716	2674	1055
717	2676	1051
718	2679	1047
719	2681	1042
720	2685	1039
721	2691	1036
722	2693	1031
723	2695	1027
724	2698	1023
725	2703	1020
726	2705	1016
727	2709	1012
728	2711	1007
729	2713	1003
730	2715	999
731	2720	995
732	2722	991
733	2724	987
734	2727	983
735	2729	979
736	2733	975
737	2736	971
738	2739	967
739	2742	963
740	2745	959
741	2749	955
742	2751	951
743	2755	948
744	2757	943
745	2759	939
746	2761	935
747	2763	930
748	2765	926
749	2767	922
750	2770	918
751	2772	914
752	2774	910
753	2776	905
754	2779	901
755	2782	897
756	2784	893
757	2786	889
758	2788	885
759	2791	881
760	2793	877
761	2795	873
762	2798	869
763	2800	864
764	2802	860
765	2804	856
766	2806	852
767	2808	848
768	2810	844
769	2812	840
770	2814	835
771	2816	831
772	2819	827
773	2821	823
774	2823	819
775	2825	815
776	2827	811
777	2829	807
778	2832	803
779	2834	799
780	2837	795
781	2838	791
782	2840	787
783	2843	783
784	2845	779
785	2847	775
786	2850	771
787	2853	767
788	2855	763
789	2857	759
790	2859	755
791	2862	751
792	2864	747
793	2866	743
794	2869	739
795	2871	735
796	2874	732
797	2876	728
798	2878	724
799	2881	720
800	2883	716
801	2885	712
802	2887	708
803	2890	704
804	2892	700
805	2894	696
806	2896	692
807	2899	688
808	2901	685
809	2903	681
810	2904	676
811	2906	672
812	2908	668
813	2910	665
814	2912	661
815	2914	657
816	2916	653
817	2919	649
818	2921	645
819	2922	641
820	2924	637
821	2926	633
822	2927	629
823	2929	625
824	2931	621
825	2934	618
826	2936	614
827	2939	610
828	2941	606
829	2943	602
830	2946	599
831	2948	595
832	2950	591
833	2953	587
834	2955	583
835	2956	580
836	2958	576
837	2961	572
838	2963	568
839	2965	564
840	2970	561
841	2972	557
842	2974	554
843	2976	550
844	2979	546
845	2981	542
846	2984	539
847	2986	535
848	2988	531
849	2991	527
850	2993	524
851	2994	520
852	2996	516
853	2998	512
854	3000	508
855	3002	505
856	3004	501
857	3006	497
858	3008	493
859	3010	490
860	3012	486
861	3014	482
862	3016	478
863	3018	475
864	3020	471
865	3022	467
866	3024	464
867	3027	460
868	3030	456
869	3031	453
870	3033	449
871	3036	445
872	3038	441
873	3040	438
874	3042	434
875	3044	431
876	3047	427
877	3049	423
878	3051	420
879	3053	416
880	3055	412
881	3058	409
882	3061	405
883	3063	401
884	3065	398
885	3068	394
886	3071	391
887	3073	387
888	3075	384
889	3077	380
890	3079	376
891	3081	373
892	3083	369
893	3085	365
894	3087	362
895	3089	358
896	3091	354
897	3094	351
898	3096	347
899	3098	344
900	3100	340
901	3103	337
902	3105	333
903	3107	330
904	3110	326
905	3112	322
906	3114	319
907	3116	315
908	3118	312
909	3121	308
910	3123	305
911	3125	301
912	3127	298
913	3130	294
914	3133	291
915	3135	287
916	3137	284
917	3140	280
918	3142	277
919	3145	273
920	3147	269
921	3149	266
922	3151	262
923	3153	259
924	3155	255
925	3157	252
926	3159	248
927	3161	245
928	3163	241
929	3166	238
930	3169	234
931	3171	231
932	3173	227
933	3175	224
934	3177	220
935	3179	217
936	3182	213
937	3184	210
938	3187	207
939	3189	203
940	3191	200
941	3193	196
942	3195	193
943	3197	189
944	3200	186
945	3202	182
946	3205	179
947	3207	175
948	3209	172
949	3211	169
950	3214	165
951	3216	162
952	3218	158
953	3220	155
954	3224	151
955	3226	148
956	3228	145
957	3231	141
958	3232	138
959	3234	134
960	3237	131
961	3239	127
962	3242	124
963	3243	121
964	3246	117
965	3248	114
966	3250	110
967	3251	107
968	3253	104
969	3255	100
970	3258	97
971	3260	93
972	3261	90
973	3264	87
974	3266	83
975	3269	80
976	3271	77
977	3273	73
978	3275	70
979	3278	66
980	3280	63
981	3283	60
982	3285	56
983	3287	53
984	3288	50
985	3290	46
986	3292	43
987	3294	40
988	3298	36
989	3300	33
990	3302	29
991	3304	26
992	3306	23
993	3308	19
994	3311	16
995	3313	13
996	3315	9
997	3317	6
998	3320	3
999	3321	0
